Freq,Rect,Flattop
18751640,-35.72,-3.69
18751680,-42.1725,-3.9975
18751720,-30.415,-4.32
18751760,-25.765,-4.66
18751800,-23.06,-5.0225
18751840,-21.165,-5.385
18751880,-19.92,-5.7775
18751920,-19.0325,-6.1825
18751960,-18.435,-6.6075
18752000,-17.97,-7.05
18752040,-17.87,-7.51
18752080,-17.95,-7.9925
18752120,-18.2,-8.54
18752160,-18.63,-9.01
18752200,-19.295,-9.555
18752240,-20.18,-10.1175
18752280,-21.3625,-10.7
18752320,-22.8925,-11.3
18752360,-24.95,-11.925
18752400,-27.8225,-12.5775
18752440,-32.2375,-13.245
18752480,-41.4825,-13.9375
18752520,-43.54,-14.66
18752560,-32.7975,-15.4
18752600,-28.6075,-16.1725
18752640,-25.99,-16.9625
18752680,-24.2075,-17.7825
18752720,-22.9325,-18.6325
18752760,-22.04,-19.4975
18752800,-21.3925,-20.42
18752840,-21.035,-21.355
18752880,-20.8675,-22.32
18752920,-20.905,-23.32
18752960,-21.1275,-24.3325
18753000,-21.5375,-25.4225
18753040,-22.1925,-26.52
18753080,-23.085,-27.655
18753120,-24.2975,-28.8325
18753160,-25.8325,-30.055
18753200,-28.1075,-31.3825
18753240,-31.0225,-32.61
18753280,-35.6525,-33.9625
18753320,-47.48,-35.37
18753360,-42.2925,-36.8075
18753400,-34.83,-38.3025
18753440,-30.4775,-39.89
18753480,-28.0275,-41.5175
18753520,-26.3375,-42.7125
18753560,-25.07,-44.95
18753600,-24.255,-46.835
18753640,-23.5275,-48.92
18753680,-23.265,-50.7575
18753720,-23.0425,-52.8475
18753760,-23.13,-55.0875
18753800,-23.335,-54.4075
18753840,-23.7475,-60.2375
18753880,-24.4425,-62.8375
18753920,-25.38,-66.895
18753960,-26.585,-70.08
18754000,-28.1775,-74.665
18754040,-30.28,-80.6775
18754080,-33.525,-85.5875
18754120,-38.6225,-82.5875
18754160,-52.425,-82.9
18754200,-41.1975,-72.8825
18754240,-35.5725,-78.31
18754280,-31.845,-76.395
18754320,-29.695,-72.375
18754360,-27.94,-77.99
18754400,-26.645,-74.6725
18754440,-25.9275,-70.7475
18754480,-25.2975,-74.7725
18754520,-24.885,-74.125
18754560,-24.7325,-71.785
18754600,-24.8625,-75.295
18754640,-25.0825,-74.5625
18754680,-25.575,-76.09
18754720,-26.2175,-75.1925
18754760,-27.2275,-74.82
18754800,-28.4925,-75.4725
18754840,-30.3025,-75.17
18754880,-32.59,-76.0025
18754920,-35.855,-76.4225
18754960,-41.7025,-72.845
18755000,-71.5525,-76.9825
18755040,-42.335,-78.64
18755080,-36.15,-81.0375
18755120,-32.98,-82.9575
18755160,-30.8625,-79.825
18755200,-29.0875,-85.1
18755240,-28.115,-89.5875
18755280,-27.3225,-91.085
18755320,-26.695,-81.0025
18755360,-26.495,-85.0575
18755400,-26.3075,-94.0925
18755440,-26.345,-89.645
18755480,-26.6825,-85.405
18755520,-27.0575,-81.2625
18755560,-27.775,-81.15
18755600,-28.835,-87.15
18755640,-30.0025,-86.115
18755680,-31.8425,-82.045
18755720,-34.3,-91.65
18755760,-37.9325,-84.96
18755800,-44.815,-83.9625
18755840,-59.1975,-92.2
18755880,-42.1775,-76.7525
18755920,-37.1475,-93.1275
18755960,-34.0875,-87.2475
18756000,-31.77,-84.7225
18756040,-30.4225,-92.7
18756080,-29.165,-92.51
